Raman Shift (cm-1),Fitted Intensity,Residual
983.005859,0.2044939661557349,-0.09226784592055728
984.75,0.1988463938410916,-0.08823535660102066
986.496094,0.19351763929474286,-0.08071924127012295
988.240234,0.18849271882425064,-0.09174533230788925
989.984375,0.1837414967954109,-0.07421378489028797
991.728516,0.17924250037071127,-0.08462788375144421
993.470703,0.1749811111824305,-0.0818590819390704
995.214844,0.1709304426742832,-0.0882674100422918
996.957031,0.1670839629843409,-0.07016881136075577
998.699219,0.16342291358813063,-0.07316750118765485
1000.441406,0.1599345171317861,-0.06887925141823333
1002.181641,0.1566108017942715,-0.06409779688115685
1003.923828,0.1534337489502147,-0.055982484279846645
1005.664062,0.15040085733529915,-0.07060551254376886
1007.404297,0.14749969305962418,-0.07922761350915498
1009.144531,0.14472220930240995,-0.05940352000250482
1010.884766,0.1420610153041787,-0.04684201346106451
1012.623047,0.1395121272222945,-0.05318027432713032
1014.363281,0.13706356721268048,-0.05364362048676016
1016.101562,0.13471507546602246,-0.06502479662737619
1017.839844,0.13245853320218098,-0.051890257312958
1019.576172,0.13029141703304806,-0.04516901479244538
1021.314453,0.12820429843759534,-0.05251196818355516
1023.050781,0.12619764885577767,-0.04146825626716086
1024.787109,0.12426516119715506,-0.04565183563596971
1026.523438,0.12240318951604309,-0.04175460986204081
1028.259766,0.12060833973349125,-0.04109426905142072
1029.996094,0.11887744240074388,-0.03567281280878476
1031.730469,0.11720938336143269,-0.03714987869826865
1033.464844,0.11559942257750581,-0.01102454387761527
1035.199219,0.11404497840044985,-0.00945584629259684
1036.933594,0.11254363156266939,-0.023619525515057693
1038.667969,0.1110931126945304,-0.02683881176371118
1040.400391,0.10969284288836895,-0.025777949694452587
1042.134766,0.10833766427763056,-0.022432248175774036
1043.867188,0.10702874962534915,-0.0036162160494474654
1045.599609,0.10576278012689316,-0.009545052867982406
1047.330078,0.10453944668974485,-0.008845792340328174
1049.0625,0.10335441945913515,0.0024969810534345577
1050.792969,0.10220889141633144,0.006451038714005486
1052.523438,0.1011001092007063,0.014040251176788948
1054.253906,0.10002675459731328,-0.005311056518454815
1055.984375,0.09898757907437639,-0.00214655687370828
1057.712891,0.09798252027293429,0.010676844271831742
1059.443359,0.09700819086277086,0.020292481137911933
1061.171875,0.0960657324880346,0.016496804781793717
1062.900391,0.09515302772899482,0.013334202794633085
1064.628906,0.09426912800672807,0.013315786776837549
1066.355469,0.09341408339539892,-0.00464182394668107
1068.083984,0.09258510622920532,0.025234157050161618
1069.810547,0.09178325862123399,0.019431325916896502
1071.537109,0.09100682063058038,0.023308903167600134
1073.263672,0.0902550602542223,0.021297036617629328
1074.990234,0.08952728317256446,0.006859153456749159
1076.714844,0.08882361121151836,0.01953331431194201
1078.439453,0.08814258154156374,0.027158306666084528
1080.164062,0.08748359703602004,0.02269096631400755
1081.888672,0.0868460893295549,0.02171766266967931
1083.613281,0.08622951839800772,0.020719487596449926
1085.337891,0.08563336862725589,0.01734847818362996
1087.060547,0.08505779182403869,0.01512725122029586
1088.783203,0.08450163572061091,0.012211113254701991
1090.505859,0.08396445711411724,0.028574483464248762
1092.228516,0.08344583362242615,0.010170459661957246
1093.951172,0.08294536390013513,0.00936934453984023
1095.671875,0.08246320223690282,0.0041803932050572395
1097.392578,0.08199840790788519,0.02114441349282993
1099.113281,0.08155063526516498,0.019948518395678128
1100.833984,0.08111955539319672,0.007472239865194685
1102.554688,0.0807048551687262,0.010941478386232092
1104.273438,0.08030668097805277,0.021119395876292316
1105.992188,0.07992427084621502,0.01867048596083938
1107.712891,0.07955694885451253,0.0035865181736008667
1109.429688,0.07920568546043405,0.02061447651683436
1111.148438,0.07886901494414413,0.002797732024055949
1112.867188,0.07854711697205388,0.009530955882151054
1114.583984,0.07824011634725077,0.0064864824797225135
1116.300781,0.07794743456841605,-0.0026375113530111433
1118.017578,0.07766887903360159,0.013987787357047421
1119.734375,0.07740426783476241,0.00314531701416762
1121.449219,0.07715370717907234,0.00256164657712786
1123.166016,0.07691646531999594,-0.009161051340747878
1124.880859,0.07669293122917359,0.008933616743966255
1126.595703,0.07648268585375853,-0.004507818423467466
1128.310547,0.07628559741970527,-0.01763215405326239
1130.025391,0.07610154306563945,-0.007161506561830858
1131.738281,0.07593059643199734,0.0063370776418489455
1133.451172,0.07577243521197488,-0.010209724090726915
1135.164062,0.07562696284083795,-0.01918188671045888
1136.876953,0.07549409056047852,-0.009769773672450063
1138.589844,0.07537373785590523,-0.0057703920396475206
1140.302734,0.07526583200348194,-0.008707026742436869
1142.013672,0.07517040964919743,-0.011488209432906946
1143.724609,0.07508728340369736,-0.008369653741092734
1145.435547,0.075016403139404,-0.004417407094131631
1147.146484,0.07495772615388271,-0.01619639256428912
1148.855469,0.07491126289367625,-0.00280022785467543
1150.566406,0.07487687862852932,-0.012071940822636795
1152.275391,0.07485463019460796,-0.007658336093105053
1153.984375,0.07484445668914905,-0.017466076763970162
1155.693359,0.0748463500908016,-0.013752621183781254
1157.402344,0.07486030910083591,-0.014619248061229814
1159.109375,0.0748863023895246,0.00312453197895346
1160.816406,0.07492435089564847,-0.0035186556986270268
1162.525391,0.07497453730249859,-0.021016281120332353
1164.230469,0.07503669360883138,-0.006684532711010188
1165.9375,0.07511104395291412,-0.0020167779032565364
1167.644531,0.07519756180178458,0.002472018672183121
1169.349609,0.07529617134686933,-0.015083455446558813
1171.054688,0.0754070150446835,-0.012143339789813495
