Wavenumber (cm^-1),Intensity (a.u.)
2848.93,1352.92
2851.0,1352.86
2853.06,1354.02
2855.13,1353.74
2857.19,1351.26
2859.26,1353.6
2861.32,1353.62
2863.39,1352.36
2865.45,1353.62
2867.51,1353.9
2869.57,1353.12
2871.63,1353.72
2873.69,1352.52
2875.75,1352.08
2877.81,1353.52
2879.87,1353.56
2881.93,1353.58
2883.99,1353.52
2886.04,1352.64
2888.1,1353.8
2890.15,1352.0
2892.21,1353.44
2894.26,1353.94
2896.32,1353.42
2898.37,1354.0
2900.42,1353.9
2902.48,1352.8
2904.53,1353.22
2906.58,1354.18
2908.63,1353.56
2910.68,1354.34
2912.73,1352.86
2914.78,1353.64
2916.83,1352.64
2918.88,1353.14
2920.92,1352.52
2922.97,1352.74
2925.02,1353.42
2927.06,1352.34
2929.11,1352.26
2931.15,1353.5
2933.2,1352.18
2935.24,1352.7
2937.28,1353.78
2939.32,1352.82
2941.37,1352.54
2943.41,1352.4
2945.45,1353.64
2947.49,1353.24
2949.53,1353.72
2951.57,1352.84
2953.6,1352.6
2955.64,1352.68
2957.68,1353.38
2959.71,1352.76
2961.75,1352.3
2963.79,1353.4
2965.82,1354.12
2967.86,1353.96
2969.89,1354.04
2971.92,1352.02
2973.96,1353.22
2975.99,1352.8
2978.02,1353.58
2980.05,1353.1
2982.08,1352.66
2984.11,1352.6
2986.14,1352.98
2988.17,1352.12
2990.2,1352.52
2992.23,1352.1
2994.25,1353.46
2996.28,1353.44
2998.3,1353.54
3000.33,1352.88
3002.36,1352.62
3004.38,1352.34
3006.4,1352.9
3008.43,1353.38
3010.45,1352.6
3012.47,1353.32
3014.49,1353.26
3016.51,1353.66
3018.54,1353.4
3020.56,1352.92
3022.57,1353.88
3024.59,1352.68
3026.61,1352.76
3028.63,1352.32
3030.65,1353.92
3032.66,1352.84
3034.68,1352.52
3036.69,1352.62
3038.71,1353.16
3040.72,1352.28
3042.74,1352.7
3044.75,1352.04
3046.76,1352.98
3048.78,1353.28
3050.79,1352.28
3052.8,1353.02
3054.81,1353.12
3056.82,1351.88
3058.83,1352.94
3060.84,1352.92
3062.85,1353.52
3064.86,1354.1
3066.86,1353.38
3068.87,1353.12
3070.88,1353.78
3072.88,1352.5
3074.89,1353.04
3076.89,1353.46
3078.9,1352.06
3080.9,1352.66
3082.9,1352.92
3084.9,1352.6
3086.91,1352.54
3088.91,1351.82
3090.91,1352.74
3092.91,1351.94
3094.91,1352.16
3096.91,1353.98
3098.91,1353.04
3100.9,1352.58
3102.9,1353.54
3104.9,1352.34
3106.9,1352.68
3108.89,1352.94
3110.89,1353.08
3112.88,1351.96
3114.88,1351.76
3116.87,1352.62
3118.86,1353.1
3120.86,1352.96
3122.85,1352.42
3124.84,1352.58
3126.83,1352.66
3128.82,1353.4
3130.81,1352.1
3132.8,1352.1
3134.79,1352.64
3136.78,1352.48
3138.77,1352.0
3140.75,1353.62
3142.74,1351.98
3144.73,1352.82
3146.71,1352.6
3148.7,1352.14
3150.68,1352.06
3152.67,1353.94
3154.65,1353.02
3156.63,1352.0
3158.62,1351.64
3160.6,1353.02
3162.58,1352.5
3164.56,1352.38
3166.54,1352.76
3168.52,1351.24
3170.5,1352.2
3172.48,1352.18
3174.46,1351.86
3176.43,1352.18
3178.41,1352.58
3180.39,1352.2
3182.36,1352.58
3184.34,1351.28
3186.32,1351.5
3188.29,1351.74
3190.26,1352.0
3192.24,1352.08
3194.21,1353.16
3196.18,1352.52
3198.15,1352.5
3200.13,1351.32
3202.1,1352.0
3204.07,1352.52
3206.04,1353.44
3208.01,1352.78
3209.98,1352.92
3211.94,1352.26
3213.91,1352.52
3215.88,1351.84
3217.84,1351.86
3219.81,1351.14
3221.78,1353.1
3223.74,1352.04
3225.71,1352.36
3227.67,1351.96
3229.63,1352.42
3231.6,1352.06
3233.56,1351.14
3235.52,1352.52
3237.48,1352.72
3239.44,1351.32
3241.4,1352.8
3243.36,1351.32
3245.32,1351.4
3247.28,1352.26
3249.24,1351.56
3251.2,1351.74
3253.15,1352.26
3255.11,1352.1
3257.07,1352.46
3259.02,1351.88
3260.98,1352.44
3262.93,1352.5
3264.89,1351.82
3266.84,1350.26
3268.79,1352.64
3270.75,1353.32
3272.7,1352.66
3274.65,1351.98
3276.6,1352.96
3278.55,1351.78
3280.5,1352.66
3282.45,1351.48
3284.4,1352.34
3286.35,1351.42
3288.29,1351.26
3290.24,1351.86
3292.19,1352.3
3294.13,1351.2
3296.08,1352.08
3298.03,1351.78
3299.97,1351.46
3301.91,1352.34
3303.86,1351.7
3305.8,1352.06
3307.74,1351.82
3309.69,1351.9
3311.63,1352.36
3313.57,1352.08
3315.51,1351.72
3317.45,1351.66
3319.39,1352.12
3321.33,1352.84
3323.27,1352.32
3325.2,1352.5
3327.14,1352.14
3329.08,1353.22
3331.02,1352.7
3332.95,1351.18
3334.89,1352.12
3336.82,1352.22
3338.76,1351.62
3340.69,1352.7
3342.62,1352.1
3344.56,1352.2
3346.49,1351.58
3348.42,1351.76
3350.35,1352.48
3352.28,1351.74
3354.21,1352.6
3356.14,1351.12
3358.07,1351.58
3360.0,1351.52
3361.93,1351.52
3363.86,1351.12
3365.78,1351.86
3367.71,1352.26
3369.64,1351.44
3371.56,1352.42
3373.49,1352.0
3375.41,1352.72
3377.34,1352.34
3379.26,1352.74
3381.18,1350.52
3383.11,1351.8
3385.03,1352.2
3386.95,1351.54
3388.87,1351.36
3390.79,1352.3
3392.71,1352.68
3394.63,1352.04
3396.55,1350.96
3398.47,1351.62
3400.39,1351.76
3402.31,1352.7
3404.22,1351.98
3406.14,1351.48
3408.06,1352.1
3409.97,1351.6
3411.89,1353.36
3413.8,1350.94
3415.71,1353.02
3417.63,1351.76
3419.54,1351.22
3421.45,1352.24
3423.37,1350.92
3425.28,1349.86
3427.19,1352.56
3429.1,1351.98
3431.01,1351.12
3432.92,1352.26
3434.83,1351.52
3436.74,1351.02
3438.64,1351.22
3440.55,1351.8
3442.46,1352.22
3444.37,1352.7
3446.27,1352.66
3448.18,1352.36
3450.08,1352.16
3451.99,1350.92
3453.89,1352.86
3455.79,1352.52
3457.7,1351.02
3459.6,1351.72
3461.5,1351.64
3463.4,1351.12
3465.3,1351.32
3467.21,1351.96
3469.11,1350.98
3471.01,1351.8
3472.9,1352.4
3474.8,1351.66
3476.7,1350.5
3478.6,1350.88
3480.5,1351.34
3482.39,1351.58
3484.29,1352.2
3486.18,1351.86
