//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 4897.70000002328
PositionY = 9097.90000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
 1.45566E+03	 1.59218E+03
 1.45814E+03	 1.58736E+03
 1.46062E+03	 1.58928E+03
 1.46309E+03	 1.58660E+03
 1.46557E+03	 1.58658E+03
 1.46804E+03	 1.58526E+03
 1.47051E+03	 1.58428E+03
 1.47298E+03	 1.58860E+03
 1.47546E+03	 1.58278E+03
 1.47793E+03	 1.59032E+03
 1.48040E+03	 1.58832E+03
 1.48286E+03	 1.58398E+03
 1.48533E+03	 1.58704E+03
 1.48780E+03	 1.58404E+03
 1.49027E+03	 1.58478E+03
 1.49273E+03	 1.58672E+03
 1.49520E+03	 1.58798E+03
 1.49766E+03	 1.58756E+03
 1.50013E+03	 1.58960E+03
 1.50259E+03	 1.59114E+03
 1.50505E+03	 1.58710E+03
 1.50751E+03	 1.58794E+03
 1.50997E+03	 1.59066E+03
 1.51243E+03	 1.58964E+03
 1.51489E+03	 1.59170E+03
 1.51735E+03	 1.59164E+03
 1.51981E+03	 1.59610E+03
 1.52226E+03	 1.59414E+03
 1.52472E+03	 1.59354E+03
 1.52718E+03	 1.59206E+03
 1.52963E+03	 1.59252E+03
 1.53208E+03	 1.59312E+03
 1.53454E+03	 1.59288E+03
 1.53699E+03	 1.59408E+03
 1.53944E+03	 1.59482E+03
 1.54189E+03	 1.59540E+03
 1.54434E+03	 1.59596E+03
 1.54679E+03	 1.59208E+03
 1.54924E+03	 1.59688E+03
 1.55169E+03	 1.59532E+03
 1.55413E+03	 1.59184E+03
 1.55658E+03	 1.58896E+03
 1.55902E+03	 1.59152E+03
 1.56147E+03	 1.59376E+03
 1.56391E+03	 1.59618E+03
 1.56636E+03	 1.59076E+03
 1.56880E+03	 1.59750E+03
 1.57124E+03	 1.59498E+03
 1.57368E+03	 1.59484E+03
 1.57612E+03	 1.58758E+03
 1.57856E+03	 1.59010E+03
 1.58100E+03	 1.59594E+03
 1.58344E+03	 1.58698E+03
 1.58587E+03	 1.58906E+03
 1.58831E+03	 1.58954E+03
 1.59074E+03	 1.58722E+03
 1.59318E+03	 1.59298E+03
 1.59561E+03	 1.58922E+03
 1.59805E+03	 1.59282E+03
 1.60048E+03	 1.59018E+03
 1.60291E+03	 1.59176E+03
 1.60534E+03	 1.58476E+03
 1.60777E+03	 1.58792E+03
 1.61020E+03	 1.58654E+03
 1.61263E+03	 1.59144E+03
 1.61506E+03	 1.58970E+03
 1.61749E+03	 1.58818E+03
 1.61991E+03	 1.59108E+03
 1.62234E+03	 1.59114E+03
 1.62476E+03	 1.59088E+03
 1.62719E+03	 1.59030E+03
 1.62961E+03	 1.58524E+03
 1.63203E+03	 1.58690E+03
 1.63446E+03	 1.58270E+03
 1.63688E+03	 1.58628E+03
