//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 9.12541E+02	 1.61324E+03
 9.15191E+02	 1.61270E+03
 9.17840E+02	 1.61280E+03
 9.20487E+02	 1.61132E+03
 9.23134E+02	 1.60900E+03
 9.25780E+02	 1.60432E+03
 9.28426E+02	 1.60252E+03
 9.31070E+02	 1.59638E+03
 9.33714E+02	 1.59416E+03
 9.36356E+02	 1.58624E+03
 9.38998E+02	 1.57532E+03
 9.41639E+02	 1.56206E+03
 9.44279E+02	 1.55038E+03
 9.46918E+02	 1.54900E+03
 9.49557E+02	 1.53064E+03
 9.52194E+02	 1.52594E+03
 9.54831E+02	 1.51520E+03
 9.57466E+02	 1.51300E+03
 9.60101E+02	 1.50598E+03
 9.62735E+02	 1.50758E+03
 9.65369E+02	 1.49868E+03
 9.68001E+02	 1.50180E+03
 9.70633E+02	 1.49656E+03
 9.73263E+02	 1.49640E+03
 9.75893E+02	 1.49606E+03
 9.78522E+02	 1.49170E+03
 9.81150E+02	 1.49500E+03
 9.83777E+02	 1.48984E+03
 9.86404E+02	 1.48610E+03
 9.89029E+02	 1.49134E+03
 9.91654E+02	 1.48898E+03
 9.94278E+02	 1.48482E+03
 9.96901E+02	 1.48946E+03
 9.99523E+02	 1.48794E+03
 1.00214E+03	 1.48672E+03
 1.00477E+03	 1.48856E+03
 1.00738E+03	 1.48986E+03
 1.01000E+03	 1.48644E+03
 1.01262E+03	 1.48808E+03
 1.01524E+03	 1.49092E+03
 1.01785E+03	 1.48466E+03
 1.02047E+03	 1.48438E+03
 1.02308E+03	 1.48934E+03
 1.02570E+03	 1.48626E+03
 1.02831E+03	 1.48950E+03
 1.03092E+03	 1.48538E+03
 1.03353E+03	 1.48418E+03
 1.03614E+03	 1.48988E+03
 1.03875E+03	 1.48300E+03
 1.04136E+03	 1.49006E+03
 1.04397E+03	 1.48844E+03
 1.04658E+03	 1.48914E+03
 1.04918E+03	 1.48754E+03
 1.05179E+03	 1.48464E+03
 1.05439E+03	 1.48628E+03
 1.05700E+03	 1.48540E+03
 1.05960E+03	 1.48940E+03
 1.06220E+03	 1.48944E+03
 1.06480E+03	 1.48860E+03
 1.06740E+03	 1.48852E+03
 1.07000E+03	 1.48460E+03
 1.07260E+03	 1.48398E+03
 1.07520E+03	 1.48880E+03
 1.07780E+03	 1.48292E+03
 1.08039E+03	 1.48246E+03
 1.08299E+03	 1.48224E+03
 1.08558E+03	 1.48668E+03
 1.08818E+03	 1.48500E+03
 1.09077E+03	 1.48306E+03
 1.09336E+03	 1.48562E+03
 1.09595E+03	 1.48394E+03
 1.09854E+03	 1.48160E+03
 1.10113E+03	 1.48224E+03
 1.10372E+03	 1.48420E+03
 1.10631E+03	 1.48326E+03
 1.10890E+03	 1.48036E+03
 1.11148E+03	 1.48598E+03
 1.11407E+03	 1.48360E+03
 1.11665E+03	 1.48328E+03
 1.11924E+03	 1.48246E+03
 1.12182E+03	 1.48302E+03
 1.12440E+03	 1.48594E+03
 1.12698E+03	 1.48404E+03
 1.12956E+03	 1.48136E+03
 1.13214E+03	 1.48232E+03
 1.13472E+03	 1.48484E+03
 1.13730E+03	 1.48078E+03
 1.13987E+03	 1.48302E+03
 1.14245E+03	 1.47982E+03
 1.14503E+03	 1.47972E+03
 1.14760E+03	 1.47786E+03
 1.15017E+03	 1.47900E+03
 1.15275E+03	 1.48386E+03
 1.15532E+03	 1.47688E+03
 1.15789E+03	 1.48164E+03
 1.16046E+03	 1.47714E+03
 1.16303E+03	 1.48272E+03
 1.16560E+03	 1.48086E+03
 1.16817E+03	 1.47706E+03
 1.17074E+03	 1.47526E+03
 1.17330E+03	 1.47930E+03
 1.17587E+03	 1.47842E+03
 1.17843E+03	 1.48018E+03
 1.18100E+03	 1.48394E+03
 1.18356E+03	 1.47878E+03
 1.18612E+03	 1.47880E+03
 1.18868E+03	 1.47892E+03
 1.19124E+03	 1.47842E+03
 1.19380E+03	 1.48140E+03
 1.19636E+03	 1.47960E+03
 1.19892E+03	 1.48086E+03
 1.20148E+03	 1.48082E+03
 1.20404E+03	 1.47566E+03
 1.20659E+03	 1.47928E+03
 1.20915E+03	 1.47998E+03
 1.21170E+03	 1.47942E+03
 1.21425E+03	 1.47778E+03
 1.21681E+03	 1.47752E+03
 1.21936E+03	 1.48252E+03
 1.22191E+03	 1.48000E+03
 1.22446E+03	 1.47878E+03
 1.22701E+03	 1.47584E+03
 1.22956E+03	 1.47820E+03
 1.23210E+03	 1.47626E+03
